name,poi_id,osm_way_id,building,amenity,area,geometry,centroid
,10,222549710,platform,,2.6317928001076345e-07,"POLYGON ((-94.5831965 39.0868896, -94.5831826 39.0868578, -94.5879114 39.0856493, -94.5879239 39.0856841, -94.5877268 39.0857497, -94.5875028 39.0858101, -94.5834889 39.0868365, -94.583387 39.0868594, -94.5832765 39.0868797, -94.5831965 39.0868896))",POINT (-94.5855493 39.0862809)
 Union Pacific State Line Yard,11,284173699,railway,,3.4932635450097213e-06,"POLYGON ((-94.6071915 39.1005092, -94.6065272 39.1007915, -94.6062702 39.1008069, -94.6058234 39.1009664, -94.6032531 39.1020497, -94.602652 39.1022461, -94.6019126 39.1024302, -94.601751 39.1024811, -94.6017233 39.1024477, -94.6023573 39.1021735, -94.6054884 39.1008661, -94.6089115 39.0994322, -94.6094781 39.0992068, -94.609843 39.0992571, -94.6102439 39.0998626, -94.6099006 39.0999725, -94.609951 39.1000582, -94.6085442 39.1004662, -94.6083474 39.1004979, -94.6081361 39.1004886, -94.6075816 39.1004588, -94.6071915 39.1005092))",POINT (-94.6073227 39.1004284)
 Adams Street,12,295166046,railway,,1.415968289994964e-06,"POLYGON ((-94.6154894 39.0845675, -94.6158962 39.0842117, -94.6167823 39.0834198, -94.616616 39.0833157, -94.6153096 39.0844125, -94.615116 39.084575, -94.6147382 39.0848101, -94.6144809 39.0849643, -94.6142464 39.0850704, -94.6139924 39.0851387, -94.6139012 39.0851564, -94.6137156 39.0851943, -94.613455 39.0852019, -94.6133117 39.0852044, -94.6131199 39.0851984, -94.6129226 39.0851832, -94.6127454 39.0851537, -94.6125713 39.0851187, -94.6123985 39.0850698, -94.612252 39.0850167, -94.6120482 39.0849147, -94.6119745 39.085013, -94.6121704 39.0851183, -94.6123865 39.0851975, -94.6125713 39.0852478, -94.6127238 39.0852804, -94.6128851 39.085304, -94.6130683 39.0853232, -94.6132638 39.0853331, -94.6137644 39.0853308, -94.6139275 39.0853387, -94.6140681 39.0853642, -94.6142062 39.085408, -94.6143262 39.0854648, -94.6144549 39.0855406, -94.6145982 39.0856544, -94.6147154 39.0857757, -94.6147805 39.0858541, -94.6148554 39.0859957, -94.6149955 39.0860083, -94.6149466 39.0857757, -94.6149141 39.0856544, -94.6148782 39.0855229, -94.614888 39.0854269, -94.6149108 39.0853081, -94.6149694 39.0851387, -94.6150313 39.0850174, -94.6151323 39.0849036, -94.6153146 39.0847368, -94.6154894 39.0845675))",POINT (-94.6147356 39.0848642)
,13,296921264,platform,,3.990133499765318e-08,"POLYGON ((-94.4302533 39.0869535, -94.4299842 39.086864, -94.429971 39.0868846, -94.429914 39.0868657, -94.4299203 39.0868542, -94.4296781 39.0867736, -94.4296705 39.0867873, -94.4295856 39.0867591, -94.4295989 39.0867331, -94.4295704 39.0867234, -94.4295484 39.0867159, -94.4293011 39.0866358, -94.4293006 39.0866355, -94.4292877 39.0866291, -94.4293026 39.0866022, -94.4302697 39.0869237, -94.4302533 39.0869535))",POINT (-94.429783 39.0867838)
,14,298247989,platform,,1.3319630499454626e-07,"POLYGON ((-94.5874004 39.0859199, -94.5875423 39.0858765, -94.5875418 39.0858496, -94.5852201 39.0864326, -94.5844049 39.086647, -94.5844315 39.0866847, -94.5874004 39.0859199))",POINT (-94.5858879 39.0862878)
 BNSF 10th Street Yard,15,309147483,railway,,2.1483331205003525e-05,"POLYGON ((-94.5806649 39.1228767, -94.5806304 39.1227503, -94.5784362 39.1234913, -94.5780808 39.1236177, -94.577681 39.1237651, -94.5773774 39.1239011, -94.577101 39.124037, -94.5766986 39.1242648, -94.5764889 39.1244123, -94.5761655 39.1246497, -94.5758743 39.1248833, -94.5755559 39.1251782, -94.5743391 39.1263806, -94.5736011 39.1271101, -94.5731631 39.1275307, -94.5706834 39.1299673, -94.5700523 39.1305951, -94.5686287 39.131997, -94.55635 39.1441209, -94.556477 39.1441695, -94.5574123 39.1432217, -94.5578572 39.1428116, -94.5588138 39.1422593, -94.5593313 39.1417967, -94.5607642 39.1403824, -94.5612247 39.1399432, -94.5624546 39.1399687, -94.5626063 39.1398286, -94.5648548 39.1375883, -94.5663675 39.137619, -94.5664169 39.1355302, -94.5664398 39.1353188, -94.5665841 39.1350382, -94.5667866 39.134804, -94.5685937 39.1329131, -94.5692379 39.1324003, -94.5696122 39.1320157, -94.5699302 39.1316721, -94.5700487 39.131467, -94.5703635 39.1309716, -94.5706004 39.1306069, -94.5710428 39.1299879, -94.5712364 39.1300179, -94.5713741 39.1294977, -94.5720128 39.1288499, -94.5734924 39.127483, -94.5736949 39.1271618, -94.5740923 39.1268325, -94.5746476 39.1268191, -94.5748008 39.1267719, -94.575588 39.126034, -94.5759779 39.1256722, -94.5762223 39.1254826, -94.5764716 39.1252586, -94.5768665 39.1249829, -94.5770911 39.1248297, -94.5772861 39.1247091, -94.5776193 39.1245176, -94.5780734 39.1243108, -94.5784856 39.1241346, -94.5788509 39.1239547, -94.5791939 39.1238379, -94.5795962 39.1236234, -94.5799887 39.1234645, -94.580428 39.1231945, -94.5806649 39.1228767))",POINT (-94.567531 39.1339167)
 NS Avondale Yard,16,309150195,railway,,4.9903092639966465e-05,"POLYGON ((-94.5555393 39.1445041, -94.5546487 39.1451429, -94.5540125 39.1454493, -94.5533629 39.1456882, -94.5528438 39.1458932, -94.5523205 39.1460731, -94.5517746 39.1461749, -94.5508524 39.1462243, -94.5506179 39.1462072, -94.5501914 39.1463216, -94.5494296 39.1463777, -94.5487554 39.1464624, -94.5490589 39.1463736, -94.5498639 39.1461592, -94.5502745 39.1459574, -94.5505469 39.1457997, -94.551051 39.1453709, -94.5511608 39.1452322, -94.5528805 39.143621, -94.5569134 39.1397111, -94.5584501 39.1382985, -94.5587632 39.1380841, -94.5591047 39.1377467, -94.5597958 39.1372358, -94.5643125 39.1337986, -94.5654834 39.1329314, -94.5672478 39.1316511, -94.5682682 39.1308879, -94.5717971 39.1283177, -94.5725817 39.1277153, -94.5728988 39.1274472, -94.573281 39.127053, -94.5734516 39.1271293, -94.572802 39.1277558, -94.5695007 39.1310171, -94.5677291 39.13275, -94.5637799 39.1366385, -94.5610536 39.1393243, -94.5598161 39.1405323, -94.5586558 39.1416401, -94.5579296 39.142356, -94.5571167 39.143044, -94.5560109 39.1441003, -94.5555393 39.1445041))",POINT (-94.5599044 39.1387986)
 Block 222,17,374384434,railway,,7.502429699981516e-07,"POLYGON ((-94.550929 39.1464547, -94.5508524 39.1462243, -94.5506179 39.1462072, -94.5501914 39.1463216, -94.5494296 39.1463777, -94.5487554 39.1464624, -94.5469771 39.1465768, -94.5469986 39.1467287, -94.5485087 39.1466267, -94.5485123 39.1466793, -94.549325 39.1466024, -94.5503389 39.146515, -94.550929 39.1464547))",POINT (-94.5491418 39.1465003)
 Birmingham,18,374387926,railway,,6.001291499951076e-07,"POLYGON ((-94.4559532 39.1673811, -94.4557855 39.1672608, -94.45357 39.1687966, -94.4537159 39.1689102, -94.4538687 39.168797, -94.4539688 39.1688437, -94.454649 39.1683083, -94.4547498 39.1682429, -94.4549185 39.168196, -94.4551036 39.1680667, -94.4551678 39.1679359, -94.4559532 39.1673811))",POINT (-94.4547452 39.1681196)
 CP-Diamond,19,374387929,railway,,1.594854485003361e-06,"POLYGON ((-94.4517802 39.1702923, -94.4516518 39.1701871, -94.4512559 39.1704543, -94.4512243 39.1704366, -94.4515987 39.1700012, -94.4519611 39.1696243, -94.4523868 39.1692169, -94.4528367 39.168826, -94.4533113 39.1684654, -94.4543059 39.1677142, -94.4546308 39.1674733, -94.4547078 39.1674446, -94.4547762 39.1673916, -94.4546182 39.1672762, -94.4531115 39.1684468, -94.4526103 39.1688424, -94.4521 39.1692965, -94.4516108 39.1697718, -94.4510634 39.1703676, -94.4505648 39.1708252, -94.4500845 39.1712217, -94.4498147 39.1714394, -94.4496647 39.1715557, -94.4498004 39.1716793, -94.4499195 39.1717262, -94.4496775 39.172019, -94.4495364 39.172208, -94.4493238 39.1725221, -94.4494961 39.1725718, -94.4497307 39.1722023, -94.4499177 39.1719593, -94.4501303 39.1717149, -94.4503411 39.1714804, -94.4506619 39.1711706, -94.4509461 39.1709474, -94.4514062 39.1705737, -94.4517802 39.1702923))",POINT (-94.4515009 39.1701669)
