name,node_id,osm_node_id,railway,level_crossing,access,description,x_coord,y_coord,geometry
,2879,191072845,level_crossing,,,,-94.4218982,39.0818918,POINT (-94.4218982 39.0818918)
,2880,191072847,,,,,-94.4218015,39.0817996,POINT (-94.4218015 39.0817996)
,2881,191072849,,,,,-94.4210762,39.0811248,POINT (-94.4210762 39.0811248)
,2882,191072851,,,,,-94.4208358,39.080868,POINT (-94.4208358 39.080868)
,2883,191072853,,,,,-94.4206856,39.0806858,POINT (-94.4206856 39.0806858)
,2884,191072855,,,,,-94.4204248,39.0803408,POINT (-94.4204248 39.0803408)
,2885,191072858,,,,,-94.4201926,39.0799756,POINT (-94.4201926 39.0799756)
,2886,191072861,,,,,-94.4199969,39.0796047,POINT (-94.4199969 39.0796047)
,2887,191072875,,,,,-94.4175036,39.0736646,POINT (-94.4175036 39.0736646)
,2888,191072878,,,,,-94.4173787,39.0732958,POINT (-94.4173787 39.0732958)
,2889,191072881,,,,,-94.4172825,39.0729454,POINT (-94.4172825 39.0729454)
,2890,191072884,,,,,-94.4172186,39.0725779,POINT (-94.4172186 39.0725779)
,2891,191072887,,,,,-94.4170519,39.071273,POINT (-94.4170519 39.071273)
,2892,191072890,,,,,-94.416994,39.0708314,POINT (-94.416994 39.0708314)
,2893,191072893,,,,,-94.4168848,39.0703157,POINT (-94.4168848 39.0703157)
,2894,191072896,,,,,-94.4168561,39.0702145,POINT (-94.4168561 39.0702145)
,2895,191072899,,,,,-94.4167273,39.0698132,POINT (-94.4167273 39.0698132)
,2896,191072902,,,,,-94.4165488,39.0693569,POINT (-94.4165488 39.0693569)
,2897,191072904,,,,,-94.4163125,39.068883,POINT (-94.4163125 39.068883)
,2898,191072907,,,,,-94.4154468,39.0673464,POINT (-94.4154468 39.0673464)
,2899,191072910,,,,,-94.4152398,39.0668643,POINT (-94.4152398 39.0668643)
,2900,191072914,,,,,-94.41494,39.0657318,POINT (-94.41494 39.0657318)
,2901,191072916,,,,,-94.4148739,39.0650901,POINT (-94.4148739 39.0650901)
,2902,191072918,level_crossing,,,,-94.414883,39.064585,POINT (-94.414883 39.064585)
,2903,191072919,,,,,-94.414888,39.063865,POINT (-94.414888 39.063865)
,2904,191072934,,,,,-94.5200251,39.04505,POINT (-94.5200251 39.04505)
,2905,191072935,,,,,-94.5195242,39.0452588,POINT (-94.5195242 39.0452588)
,2906,191072936,,,,,-94.518704,39.045536,POINT (-94.518704 39.045536)
,2907,191072937,,,,,-94.5175122,39.0458634,POINT (-94.5175122 39.0458634)
,2908,191072939,,,,,-94.5158698,39.0463094,POINT (-94.5158698 39.0463094)
,2909,191072941,,,,,-94.5154545,39.0464407,POINT (-94.5154545 39.0464407)
,2910,191072943,,,,,-94.5148857,39.0466457,POINT (-94.5148857 39.0466457)
,2911,191072945,,,,,-94.5143345,39.0468799,POINT (-94.5143345 39.0468799)
,2912,191072947,,,,,-94.5139745,39.0470519,POINT (-94.5139745 39.0470519)
,2913,191072949,,,,,-94.5135682,39.0472738,POINT (-94.5135682 39.0472738)
,2914,191072953,,,,,-94.51286,39.047718,POINT (-94.51286 39.047718)
,2915,191072954,,,,,-94.5122781,39.0481529,POINT (-94.5122781 39.0481529)
,2916,191072955,,,,,-94.5119943,39.0483863,POINT (-94.5119943 39.0483863)
,2917,191072956,,,,,-94.509697,39.0504514,POINT (-94.509697 39.0504514)
,2918,191073008,switch,,,,-94.5740803,39.1143902,POINT (-94.5740803 39.1143902)
,2919,191073038,switch,,,,-94.5693911,39.1150089,POINT (-94.5693911 39.1150089)
,2920,191073113,,,,,-94.5171786,39.0455142,POINT (-94.5171786 39.0455142)
,2921,191073131,switch,,,,-94.5701309,39.1143825,POINT (-94.5701309 39.1143825)
,2922,191073138,level_crossing,,,,-94.5697441,39.1143006,POINT (-94.5697441 39.1143006)
,2923,191073153,,,,,-94.5677556,39.1142727,POINT (-94.5677556 39.1142727)
,2924,191073237,,,,,-94.5752733,39.1134223,POINT (-94.5752733 39.1134223)
,2925,191073249,,,,,-94.5700553,39.1138277,POINT (-94.5700553 39.1138277)
,2926,191073259,level_crossing,,,,-94.4952156,39.1203731,POINT (-94.4952156 39.1203731)
,2927,191073269,,,,,-94.4948422,39.1202514,POINT (-94.4948422 39.1202514)
,2928,191073274,level_crossing,,,,-94.4114319,39.0920096,POINT (-94.4114319 39.0920096)
,2929,191073381,,,,,-94.5158963,39.0462159,POINT (-94.5158963 39.0462159)
,2930,191073382,,,,,-94.5174537,39.0457733,POINT (-94.5174537 39.0457733)
,2931,191073386,,,,,-94.5187909,39.0453939,POINT (-94.5187909 39.0453939)
,2932,191075573,,,,,-94.4922332,39.1271121,POINT (-94.4922332 39.1271121)
,2933,191075575,,,,,-94.492275,39.125925,POINT (-94.492275 39.125925)
,2934,191075577,,,,,-94.4922453,39.1257665,POINT (-94.4922453 39.1257665)
,2935,191075582,,,,,-94.4922494,39.1233954,POINT (-94.4922494 39.1233954)
,2936,191075583,,,,,-94.4922524,39.1231311,POINT (-94.4922524 39.1231311)
,2937,191075584,,,,,-94.4922469,39.1230557,POINT (-94.4922469 39.1230557)
,2938,191075585,,,,,-94.4921897,39.1228185,POINT (-94.4921897 39.1228185)
,2939,191075586,,,,,-94.4921537,39.1227197,POINT (-94.4921537 39.1227197)
,2940,191075588,,,,,-94.4920274,39.1224782,POINT (-94.4920274 39.1224782)
,2941,191075590,,,,,-94.4919241,39.1223359,POINT (-94.4919241 39.1223359)
,2942,191075591,,,,,-94.4916461,39.1220459,POINT (-94.4916461 39.1220459)
